step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,hour_of_day,account_open_step_orig,isFraud,velocity_24h,is_new_beneficiary,rule_flagged,amount_vs_sender_avg,drain_ratio,account_age_steps,suspicion_score,shap_amount,shap_amount_vs_sender_avg,shap_drain_ratio,shap_velocity_24h,shap_is_new_beneficiary,shap_hour_of_day,shap_account_age_steps
337,TRANSFER,18401.07,C101080,56404.27,38003.21,C100175,105033.85,123434.92,1,358,0,1,1,1,1.1063841991548917,0.3262354073547978,0,0.0,-3.154489,-1.6310449,-5.658995,0.23644252,-0.54399574,2.3775933,-0.13000211
337,TRANSFER,2920.24,C101844,109447.35,106527.11,C100465,38991.42,41911.66,1,545,0,0,1,1,0.876522532581747,0.02668168758768485,0,0.0,-2.9275367,-1.8225812,-5.6584744,-0.4786451,-0.53900033,2.4156675,-0.16548668
337,TRANSFER,31525.53,C100280,434650.21,403124.68,C101634,80359.07,111884.6,1,362,0,3,1,1,1.4154935644486528,0.0725308058634091,0,0.0,-3.1400402,-1.5210825,-5.402201,-0.16540456,-0.62895447,2.664112,-0.116349414
337,TRANSFER,14681.79,C101377,70610.55,55928.76,C101197,77054.26,91736.05,1,617,0,0,1,1,0.2892163998799938,0.20792629430021434,0,0.0,-2.9275367,-1.8225812,-5.6584744,-0.4786451,-0.53900033,2.4156675,-0.16548668
337,TRANSFER,7035.45,C100161,31801.09,24765.63,C100014,665479.14,672514.59,1,462,0,0,1,1,1.070798059033508,0.22123298289461146,0,0.0,-2.9275367,-1.8225812,-5.6584744,-0.4786451,-0.53900033,2.4156675,-0.16548668
337,TRANSFER,62271.82,C100915,1018169.89,955898.07,C101385,164612.37,226884.2,1,333,0,1,1,1,0.6047858167060133,0.061160539720930066,4,0.0,-3.1689122,-1.6310449,-5.658995,0.23524648,-0.54346305,2.3953512,-0.09096184
337,TRANSFER,19356.92,C100550,23228.31,3871.38,C101410,7085.31,26442.24,1,373,0,0,1,1,0.22346863952117887,0.8333331180787581,0,0.0,-2.9275367,-1.8225812,-5.6584744,-0.4786451,-0.53900033,2.4156675,-0.16548668
337,TRANSFER,1586693.11,C101747,290686.2,0.0,C100029,22228.67,1608921.79,23,-112,1,3,1,1,18.798524401640424,2.0,449,99.7,5.154384,-0.54632336,2.1816394,-1.1890152,-1.0096927,1.2071217,-0.18159895
337,TRANSFER,21463.85,C100011,832858.81,811394.95,C100724,48900.64,70364.5,1,604,0,0,1,1,0.3046575546431366,0.025771294896910553,0,0.0,-2.9275367,-1.8225812,-5.6584744,-0.4786451,-0.53900033,2.4156675,-0.16548668
337,TRANSFER,31660.82,C100915,1018169.89,986509.08,C100987,662121.66,693782.48,1,333,0,1,1,1,0.3074908502960421,0.03109581250728206,4,0.0,-3.1689122,-1.6310449,-5.658995,0.23524648,-0.54346305,2.3953512,-0.09096184
