step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,hour_of_day,account_open_step_orig,isFraud,velocity_24h,is_new_beneficiary,rule_flagged
0,TRANSFER,8072.41,C101169,23716.67,15644.26,C101100,29166.62,37239.03,0,-406,0,0,1,0
0,TRANSFER,12170.92,C101212,229803.02,217632.1,C101669,116337.18,128508.1,0,83,0,0,1,1
0,TRANSFER,5507.35,C100833,29886.79,24379.44,C101960,475171.35,480678.7,0,218,0,0,1,1
0,TRANSFER,17101.68,C101233,280327.38,263225.71,C101806,36384.08,53485.76,0,468,0,0,1,1
0,TRANSFER,15229.86,C101285,331346.44,316116.58,C100718,343603.22,358833.08,0,331,0,0,1,1
0,TRANSFER,11962.31,C101959,36510.3,24547.99,C100723,122464.44,134426.75,0,116,0,0,1,1
0,TRANSFER,7737.71,C101303,318439.55,310701.84,C101394,198897.29,206635.0,0,-456,0,0,1,0
0,TRANSFER,10535.0,C101864,12642.0,2107.0,C100294,399485.73,410020.73,0,462,0,0,1,1
0,TRANSFER,2587.28,C101327,106613.37,104026.09,C100965,14473.3,17060.58,0,707,0,0,1,1
0,TRANSFER,97184.84,C101723,294629.41,197444.57,C101140,78661.19,175846.03,0,-212,0,0,1,0
0,TRANSFER,1527.33,C100824,99808.43,98281.1,C101486,237872.54,239399.87,0,469,0,0,1,1
0,TRANSFER,26211.91,C101363,32403.15,6191.25,C101539,37160.29,63372.2,0,-409,0,0,1,0
0,TRANSFER,4349.38,C100409,51903.53,47554.15,C100660,29437.64,33787.02,0,150,0,0,1,1
0,TRANSFER,1954.69,C100408,5729.4,3774.71,C101102,252058.74,254013.43,0,716,0,0,1,1
0,TRANSFER,13808.22,C101377,70610.55,56802.33,C100917,888371.37,902179.59,0,617,0,0,1,1
0,TRANSFER,20108.45,C101702,40569.74,20461.29,C101930,27791.39,47899.84,0,176,0,0,1,1
0,TRANSFER,13034.76,C100817,251662.34,238627.57,C101586,28900.75,41935.51,0,254,0,0,1,1
